GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notification-service,com.notification.exception,EmailSendException,0,5,0,0,0,2,0,1,0,1
notification-service,com.notification,NotificationServiceApplication,5,3,0,0,2,1,1,1,1,1
notification-service,com.notification.service,EmailService,3,104,0,6,2,31,0,7,0,4
notification-service,com.notification.service,NotificationService,0,315,1,3,0,95,1,14,0,13
notification-service,com.notification.service,UserService,0,71,0,2,0,18,0,6,0,5
notification-service,com.notification.controller,NotificationController,0,106,0,0,0,27,0,7,0,7
